page, section, description
25, 1.3.12, ") should be }"
68, 2.2.7, "3rd line of proof, 2nd = should be -"
109, 3.1.9, "In the inequality chain of the proof, n should be m"
112, 3.2.6, "direction misspelled"
162, 3.7.10, "definition 2 has an extra )"
180, 3.8.2, "Missing closing bracket in ||g(x_1) - g(x_2 **)** || <= ..."
180, 3.8.2, "(0) is in the index when it shouldn't be when we find domain/codomain of g"
181, 3.8.2, "Since the Jacobian is continuous, there exists a delta such that J_f(x) &neq; 0 for all x in the ball with the radius delta. Not r"
181, 3.8.2, "missing closing bracket at the end of the line where eps* first appears"
286, 4.6.1, "the result is 32/375, not 32/125. The rest is ok"
294, 5.1, "The correction is incorrect and not needed. The absolute value comes into place when integrating by area. Before that it is fixed automatically by the bounds"
317, 5.1.27, "The 2nd line of integration should be kr^2(r^2+b^2-2br cos t). The end result is correct since the cos is 0"
354, 5.3.15, "one open bracket too much"
445, 6.3.20, "missing closing bracket in first math line of the solution"
473, 5, "the integral is not equal to 0 as the curl isn't 0. Last term is incorrect"
485, 6.8.2, "multiplication for k=2 one d too much"
486, 6.8.3, "I think the closing bracket on the first line of the solution should be at the end of the line?"
502, 6.10.2, "one open bracket too much in instructions, 1."
